,Sermons,Dates,Description,Links
571,Receive The Gift Of No Condemnation And Walk In Peace ,25 December 2005,"God did not send His Son into the world to condemn it but to save it. That is what Christmas is about - a Saviour, not judge, was born unto us. And He was punished for our sins so that we can receive the gift of no condemnation. This gift is so important because it will cause us to walk in peace and freedom, and will even kill stress in our lives! Hear more glad tidings in this Christmas message and experience more of the abundant life that Jesus died to give you!
",https://www.josephprince.com/sermons/receive-the-gift-of-no-condemnation-and-walk-in-peace?sku=20051225M3
572,Keys To Manifesting The Glory Of His Presence ,18 December 2005,"Get ready to enjoy divine success in all areas of your life! Be empowered by this enlightening message as Joseph Prince shares how good things happen to you when the Lord&#039;s presence is manifested. Discover the joy of being conscious of His presence and how that causes His tangible favors and blessings to flow in your life. Let the glory of the Lord be visible in your life today!
",https://www.josephprince.com/sermons/keys-to-manifesting-the-glory-of-his-presence?sku=20051218M3
573,New Covenant Truths In The Lives Of Eli And Samuel ,16 December 2005,"The Old Testament account of the lives of Eli and Samuel is a picture of contrast between the old and new priesthoods. Eli represents the old that is based on the law and that is passing away to make way for the new. Samuel, from his conception, typifies this new priesthood, one based on grace. Be blessed as you listen to new covenant truths being unveiled in this message.
",https://www.josephprince.com/sermons/new-covenant-truths-in-the-lives-of-eli-and-samuel?sku=20051216M3
574,Supernatural Health Through The Roasted Lamb ,11 December 2005,"In one act of eating, Adam caused the fall of man. In another act of eating, Jesus gave us the &#039;recipe&#039; to reverse the effects of the curse! To find out what this is, brush aside any worldly notion of what&#039;s best for your body and feed on this message. Not only will it change the way you see Jesus on the cross, it will give you the food for thought necessary to build strong faith!
",https://www.josephprince.com/sermons/supernatural-health-through-the-roasted-lamb?sku=20051211VJ
575,The Importance Of Fellowship Under The New Covenant ,9 December 2005,"Don&#039;t be a loner in church, get to know someone. Even Lone Ranger had Tonto! There&#039;s a corporate anointing when two or more are gathered in His name. There&#039;s safety in being together, so don&#039;t withdraw to battle your demons alone. Confide in your leaders who are there for you . Let them pray with you , for you and love you into wholeness. Hear this message and understand why godly fellowship is so important.
",https://www.josephprince.com/sermons/the-importance-of-fellowship-under-the-new-covenant?sku=20051209M3
576,The Faith That Is Accounted For Righteousness ,4 December 2005,"Abraham believed God and not only was his faith accounted for righteousness, he became heir of the world! How we inherit the world and enjoy the possessions God has for us depends on what grounds God declares us righteous. Is it by our good works or by faith? Listen to this message and establish once for all why God is able to justify and bless us.
",https://www.josephprince.com/sermons/the-faith-that-is-accounted-for-righteousness?sku=20051204M3
577,Rest Is Holy Spirit-Directed Activity ,20 November 2005,"If you think you have to labour hard to enjoy the good life, think again! Do you know that God wants you to do the exact opposite? He wants you to rest… in Him so the Holy Spirit can direct your next move in any area to give you good success! Listen to this message and discover why the Holy Spirit&#039;s prompting will be a blessing in your life.
",https://www.josephprince.com/sermons/rest-is-holy-spirit-directed-activity?sku=20051120M3
578,The Righteous By Faith Shall Live ,13 November 2005,"Have you noticed how there are seasons in your life when things don&#039;t seem to go right? What you need is more of God&#039;s life flowing in you, a quickening, to carry you through. You can ask God for more of His life. Get this message and discover how the righteous by faith shall live the abundant life, and be saved (sozo-ed) by this life every day.
",https://www.josephprince.com/sermons/the-righteous-by-faith-shall-live?sku=20051113CJ
579,How To Receive Strength To Conceive Seed ,30 October 2005,"How do we lay hold of the promises of God? What should Christians do while they wait for their miracle to manifest? How do we demonstrate the faith that pleases God? Take a leaf out of Sarah&#039;s story in Genesis 18 where the Lord had just promised that she would bear a son. Listen to this message and find out what it was she did that pleased the Lord, and caused her to have strength to conceive her miracle child.
",https://www.josephprince.com/sermons/how-to-receive-strength-to-conceive-seed?sku=20051030CJ
580,Understanding The Manna Principle ,27 October 2005,"How do you receive and walk in God&#039;s provision daily? Drawing from the Old Testament account of how God sent fresh manna from heaven to feed the Israelites, Joseph Prince shows you how important the word of Christ is for receiving your daily portion of provision from the Lord. Listen and be doubly blessed to learn how resting in the favor and finished work of Jesus will unleash a double portion of provision in your life!
",https://www.josephprince.com/sermons/understanding-the-manna-principle?sku=20051027M3
581,The Right Hand And Left Hand Of Wisdom ,16 October 2005,"In the left hand of wisdom is riches and honour, and in her right hand, length of days. Solomon had riches and honour, but not length of days for he died relatively young. Listen to this message and find out how you can have both the hands of wisdom embracing you.
",https://www.josephprince.com/sermons/the-right-hand-and-left-hand-of-wisdom?sku=20051016M3
582,God's Favour Comes When You See Jesus ,14 October 2005,"People of the world may have a lot, but Christians have everything, including a new and living way to relax in the presence of God. How do we know that this is the heart of our Heavenly Father? Just look at Jesus, His ministry of grace, and His perfect work on the cross. Not only will this message change the way you see Jesus, it will also bless you abundantly.
",https://www.josephprince.com/sermons/gods-favour-comes-when-you-see-jesus?sku=20051014M3
583,"When You Give Thanks, You Truly Bless ",9 October 2005,"The people of the world may have plenty, but the truth is that you have much more because you have the dew of heaven - the favour of God. So, instead of looking at what you don&#039;t have, look at what you do have and give thanks. And when you thank God for someone or something, you are also blessing that person or thing. Find out why when you give thanks, you truly bless!
",https://www.josephprince.com/sermons/when-you-give-thanks-you-truly-bless?sku=20051009M3
